waypoint1	waypoint2	distance_m	duration_s
43.68343229,-79.40487695	43.66520028,-79.40993898	3007	568
43.66433312,-79.41168512	43.66520028,-79.40993898	308	99
43.68187178,-79.39430349	43.66520028,-79.40993898	3519	689
43.66814435,-79.41087319	43.66520028,-79.40993898	335	125
43.66520028,-79.40993898	43.67938282,-79.39895967	2721	516
43.67766539,-79.41467908	43.66520028,-79.40993898	1845	372
43.66520028,-79.40993898	43.67004064,-79.39998849	1479	349
43.6743033,-79.42692095	43.66520028,-79.40993898	2521	491
43.67121068,-79.41725312	43.66520028,-79.40993898	2095	415
43.66433312,-79.41168512	43.68343229,-79.40487695	3773	684
43.68187178,-79.39430349	43.68343229,-79.40487695	1779	373
43.66814435,-79.41087319	43.68343229,-79.40487695	3253	609
43.68343229,-79.40487695	43.67938282,-79.39895967	1136	212
43.67766539,-79.41467908	43.68343229,-79.40487695	2973	585
43.68343229,-79.40487695	43.67004064,-79.39998849	2472	392
43.6743033,-79.42692095	43.68343229,-79.40487695	4023	653
43.67121068,-79.41725312	43.68343229,-79.40487695	3409	595
43.68187178,-79.39430349	43.66433312,-79.41168512	3645	691
43.66433312,-79.41168512	43.66814435,-79.41087319	552	111
43.66433312,-79.41168512	43.67938282,-79.39895967	2847	518
43.67766539,-79.41467908	43.66433312,-79.41168512	1796	330
43.66433312,-79.41168512	43.67004064,-79.39998849	1635	386
43.66433312,-79.41168512	43.6743033,-79.42692095	2424	411
43.66433312,-79.41168512	43.67121068,-79.41725312	1636	291
43.68187178,-79.39430349	43.66814435,-79.41087319	3250	695
43.68187178,-79.39430349	43.67938282,-79.39895967	1682	329
43.67766539,-79.41467908	43.68187178,-79.39430349	3392	665
43.68187178,-79.39430349	43.67004064,-79.39998849	3019	509
43.68187178,-79.39430349	43.6743033,-79.42692095	4020	740
43.68187178,-79.39430349	43.67121068,-79.41725312	3406	682
43.66814435,-79.41087319	43.67938282,-79.39895967	2561	477
43.67766539,-79.41467908	43.66814435,-79.41087319	1510	289
43.66814435,-79.41087319	43.67004064,-79.39998849	2599	459
43.66814435,-79.41087319	43.6743033,-79.42692095	2138	369
43.66814435,-79.41087319	43.67121068,-79.41725312	1758	354
43.67766539,-79.41467908	43.67938282,-79.39895967	2365	470
43.67004064,-79.39998849	43.67938282,-79.39895967	1442	285
43.6743033,-79.42692095	43.67938282,-79.39895967	2993	546
43.67121068,-79.41725312	43.67938282,-79.39895967	2379	487
43.67766539,-79.41467908	43.67004064,-79.39998849	2496	468
43.67766539,-79.41467908	43.6743033,-79.42692095	1398	249
43.67766539,-79.41467908	43.67121068,-79.41725312	1433	269
43.6743033,-79.42692095	43.67004064,-79.39998849	3019	527
43.67121068,-79.41725312	43.67004064,-79.39998849	2296	411
43.6743033,-79.42692095	43.67121068,-79.41725312	1343	272
